Sales_ID,month,year,KM_driven,Fuel_Type,Horse_Power,Color,Transmission,Engine,Doors,Cylinders,Gears,Sport_Model,selling_price
1,Oct,2006,49805.0,Diesel,90,Metallic,Manual,2000,3,4,5,0,14310.0
2,Oct,2006,77313.0,Diesel,90,Metallic,Manual,2000,3,4,5,0,14575.0
3,Sept,2006,44214.0,Diesel,90,Metallic,Manual,2000,3,4,5,0,14787.0
4,Jul,2006,50880.0,Diesel,90,Non-Metallic,Manual,2000,3,4,5,0,15847.0
5,Mar,2006,40810.0,Diesel,90,Non-Metallic,Manual,2000,3,4,5,0,14575.0
6,Jan,2006,64660.0,Diesel,90,Non-Metallic,Manual,2000,3,4,5,0,13727.0
7,Jun,2006,100289.0,Diesel,90,Metallic,Manual,2000,3,4,5,1,17914.0
8,Mar,2006,80442.0,Diesel,90,Metallic,Manual,2000,3,4,5,0,19716.0
9,Jun,2006,20882.0,Petrol,192,Non-Metallic,Manual,1800,3,4,5,0,22790.0
10,Oct,2006,75406.0,Diesel,69,Non-Metallic,Manual,1900,3,4,5,0,13727.0
11,Aug,2006,33349.0,Petrol,192,Non-Metallic,Manual,1800,3,4,6,0,22207.0
12,Nov,2006,46227.0,Petrol,192,Non-Metallic,Manual,1800,3,4,6,1,21147.0
13,Aug,2006,34120.0,Petrol,192,Non-Metallic,Manual,1800,3,4,6,1,20776.0
14,Feb,2006,24380.0,Petrol,192,Metallic,Manual,1800,3,4,6,1,22790.0
15,Jan,2006,36179.0,Petrol,192,Metallic,Manual,1800,3,4,6,1,23850.0
16,May,2006,19863.0,Petrol,192,Non-Metallic,Manual,1800,3,4,6,1,23320.0
17,Mar,2006,36040.0,Petrol,192,Metallic,Manual,1800,3,4,5,0,24115.0
18,Sept,2006,23019.0,Petrol,110,Metallic,Manual,1600,3,4,5,0,19027.0
19,Sept,2006,27097.0,Petrol,110,Non-Metallic,Manual,1600,3,4,5,0,17755.0
20,Mar,2006,68221.0,Petrol,110,Metallic,Manual,1600,3,4,5,1,17967.0
21,Mar,2006,71720.0,Petrol,110,Metallic,Manual,1600,3,4,5,1,16907.0
22,Apr,2006,46539.0,Petrol,110,Non-Metallic,Automatic,1600,3,4,5,1,17967.0
23,May,2006,59730.0,Petrol,110,Metallic,Manual,1600,3,4,5,1,16907.0
24,May,2006,34153.0,Petrol,110,Metallic,Manual,1600,3,4,5,1,17967.0
25,Apr,2006,27362.0,Petrol,110,Metallic,Manual,1600,3,4,5,1,17225.0
26,Aug,2006,30157.0,Petrol,110,Metallic,Manual,1600,3,4,5,1,16907.0
27,Jun,2006,36618.0,Petrol,110,Metallic,Manual,1600,3,4,5,0,18545.0
28,Apr,2006,43900.0,Petrol,110,Metallic,Manual,1600,3,4,5,1,16695.0
29,May,2006,46791.0,Petrol,110,Non-Metallic,Manual,1600,3,4,5,1,17967.0
30,Mar,2006,11755.0,Petrol,110,Metallic,Manual,1600,3,4,5,1,19027.0
31,Apr,2006,10335.0,Petrol,97,Metallic,Manual,1400,3,4,5,0,13727.0
32,Nov,2006,37311.0,Petrol,97,Metallic,Manual,1400,3,4,5,1,16695.0
33,Jun,2006,31281.0,Petrol,97,Metallic,Manual,1400,3,4,5,1,16907.0
34,Jul,2006,34654.0,Petrol,97,Metallic,Manual,1400,3,4,5,1,15847.0
35,Nov,2006,43460.0,Petrol,97,Metallic,Manual,1400,3,4,5,1,16430.0
36,Jul,2006,45580.0,Petrol,97,Non-Metallic,Manual,1400,3,4,5,1,16695.0
37,Aug,2006,26500.0,Petrol,97,Non-Metallic,Manual,1400,3,4,5,1,16907.0
38,Oct,2006,10600.0,Petrol,97,Metallic,Manual,1400,3,4,5,1,15847.0
39,Jan,2006,26849.0,Petrol,97,Metallic,Manual,1400,3,4,5,1,16695.0
40,Jun,2006,29150.0,Petrol,97,Non-Metallic,Manual,1400,3,4,5,1,15635.0
41,Nov,2006,52003.0,Petrol,97,Non-Metallic,Manual,1400,3,4,5,1,14787.0
42,Jun,2006,46712.0,Petrol,97,Metallic,Manual,1400,3,4,5,1,17755.0
43,Nov,2006,49779.0,Petrol,97,Non-Metallic,Manual,1400,3,4,5,1,14787.0
44,Jun,2006,117028.0,Diesel,90,Non-Metallic,Manual,2000,5,4,5,1,17967.0
45,Nov,2006,106265.0,Diesel,90,Non-Metallic,Manual,2000,5,4,5,1,17967.0
46,Oct,2006,89040.0,Diesel,90,Non-Metallic,Manual,2000,5,4,5,0,20140.0
47,Jun,2006,84138.0,Diesel,90,Metallic,Manual,2000,5,4,5,1,19027.0
48,Nov,2006,79551.0,Petrol,97,Metallic,Manual,1400,5,4,5,1,16748.0
49,Nov,2006,76548.0,Diesel,90,Metallic,Manual,2000,5,4,5,1,19027.0
50,Feb,2006,68881.0,Petrol,192,Metallic,Manual,1800,5,4,6,1,23267.0
51,Nov,2006,66394.0,Diesel,90,Metallic,Manual,2000,5,4,5,1,19027.0
52,Mar,2006,60511.0,Petrol,97,Metallic,Manual,1400,5,4,5,0,16695.0
53,Jul,2006,59360.0,Petrol,110,Metallic,Automatic,1600,5,4,5,1,21730.0
54,Jun,2006,52858.0,Petrol,192,Metallic,Manual,1800,5,4,5,0,23267.0
55,Aug,2006,52113.0,Petrol,110,Non-Metallic,Automatic,1600,5,4,5,1,16430.0
56,Jan,2006,48468.0,Petrol,110,Metallic,Manual,1600,5,4,5,0,14045.0
57,May,2006,45803.0,Petrol,97,Non-Metallic,Manual,1400,5,4,5,1,16165.0
58,Jul,2006,45580.0,Petrol,97,Non-Metallic,Manual,1400,5,4,5,1,16165.0
59,Oct,2006,42086.0,Petrol,110,Metallic,Automatic,1600,5,4,5,1,20087.0
60,Mar,2006,41287.0,Petrol,110,Metallic,Manual,1600,5,4,5,1,16959.0
61,Nov,2006,39644.0,Petrol,97,Metallic,Manual,1400,5,4,5,1,15847.0
62,Jun,2006,39408.0,Petrol,110,Non-Metallic,Manual,1600,5,4,5,1,17490.0
63,Feb,2006,38737.0,Petrol,110,Metallic,Manual,1600,5,4,5,1,19875.0
64,Mar,2006,35522.0,Petrol,110,Metallic,Manual,1600,5,4,5,1,19027.0
65,Jun,2006,34778.0,Petrol,97,Metallic,Manual,1400,5,4,5,1,19027.0
66,Jul,2006,34112.0,Petrol,110,Metallic,Manual,1600,5,4,5,0,17967.0
67,May,2006,32853.0,Petrol,110,Metallic,Manual,1600,5,4,5,1,20087.0
68,Nov,2006,32224.0,Petrol,97,Metallic,Manual,1400,5,4,5,1,15847.0
69,Nov,2006,31800.0,Diesel,110,Metallic,Manual,2000,5,4,5,1,23585.0
70,Aug,2006,31502.0,Petrol,97,Metallic,Manual,1400,5,4,5,1,16907.0
71,May,2006,30958.0,Petrol,97,Metallic,Manual,1400,5,4,5,1,16907.0
72,Jan,2006,30950.0,Petrol,97,Metallic,Manual,1400,5,4,5,0,13775.0
73,May,2006,30546.0,Petrol,110,Metallic,Manual,1598,5,4,5,0,20087.0
74,Oct,2006,29921.0,Petrol,97,Metallic,Manual,1400,5,4,5,1,16695.0
75,May,2006,29680.0,Petrol,110,Non-Metallic,Manual,1600,5,4,5,0,21147.0
76,Oct,2006,29680.0,Petrol,110,Metallic,Manual,1600,5,4,5,1,17967.0
77,Feb,2006,26782.0,Petrol,110,Metallic,Manual,1600,5,4,5,1,19875.0
